Conversation/DEBUG_FaceAnimTest/Group00001=Kerrigan /// Kerrigan
Conversation/DEBUG_FaceAnimTest/Group00002=Izsha /// Izsha
Conversation/DEBUG_FaceAnimTest/Group00003=Zagara /// Zagara
Conversation/DEBUG_FaceAnimTest/Group00004=Stukov /// Stukov
Conversation/DEBUG_FaceAnimTest/Group00005=Valerian /// Valerian
Conversation/DEBUG_FaceAnimTest/Group00006=Dehaka /// Dehaka
Conversation/DEBUG_FaceAnimTest/Group00007=Lasarra /// Lasarra
Conversation/DEBUG_FaceAnimTest/Group00008=Kerrigan Infested /// Kerrigan Infested
Conversation/zBriefing_Hybrid02/Comment00015=Camera shows two Hybrid in containment cells. During Stukov's line below, they break out. /// Camera shows two Hybrid in containment cells. During Stukov's line below, they break out.
Conversation/zBriefing_Hybrid02/Comment00016=The hybrids have finished off all nearby Dominion and now they combine with each other. /// The hybrids have finished off all nearby Dominion and now they combine with each other.
Conversation/zBriefing_Hybrid02/Comment00017=Zerg break through the door and mow down some marines. Kerrigan walks through the door while the fighting is still going on. /// Zerg break through the door and mow down some marines. Kerrigan walks through the door while the fighting is still going on.
Conversation/zBriefing_Hybrid02/Comment00018=Camera shows two Hybrid in containment cells. /// Camera shows two Hybrid in containment cells.
Conversation/zBriefing_Hybrid02/Comment00019=Alarms go off as they attack the Dominion. /// Alarms go off as they attack the Dominion.
Conversation/zBriefing_Hybrid02/Comment00020=Pull back to reveal Dominion guards. /// Pull back to reveal Dominion guards.
Conversation/zBriefing_Hybrid02/Comment00021=A hybrid awakens. /// A hybrid awakens.
Conversation/zBriefing_Hybrid02/Comment00022=Zerg break through the door and mow down some marines. Kerrigan walks through the door while the fighting is still going on. /// Zerg break through the door and mow down some marines. Kerrigan walks through the door while the fighting is still going on.
Conversation/zBriefing_Hybrid02/Comment00023=Camera shows a hybrid in it's containment cell. /// Camera shows a hybrid in it's containment cell.
Conversation/zBriefing_Hybrid02/Comment00025=A hybrid awakens. /// A hybrid awakens.
Conversation/zBriefing_Hybrid02/Comment00027=It kills the Dominion and attacks Kerrigan directly. /// It attacks Kerrigan directly.
Conversation/zBriefing_Hybrid02/Group00001=Hybrid02 /// Hybrid02
Conversation/zBriefing_Hybrid02/Group00002=NEWEST /// NEWEST
Conversation/zBriefing_Hybrid02/Group00003=Briefing /// Briefing
Conversation/zBriefing_Hybrid02/Group00004=Old Briefing /// Old Briefing
Conversation/zBriefing_Hybrid02/Group00005=任务简述 /// Briefing
Conversation/zBriefing_Hybrid02/Group00006=OBSOLETE /// OBSOLETE
Conversation/zBriefing_Hybrid02/Line00001=指挥官，异虫突破防线冲进实验室了！ /// Commander, the zerg have busted into the lab!
Conversation/zBriefing_Hybrid02/Line00002=我会尽我所能帮你消灭杜兰。 /// I will do whatever I can to help you kill Duran.
Conversation/zBriefing_Hybrid02/Line00003=你必须不惜一切代价阻止混合体进行融合。 /// You must keep the hybrid from merging at any cost.
Conversation/zBriefing_Hybrid02/Line00004=凯瑞甘，杜兰可不会那么轻易就范的。 /// Kerrigan, Duran will not take this invasion lightly.
Conversation/zBriefing_Hybrid02/Line00005=它们在多年以前就被制造出来了，但杜兰还在继续试验，试图改变它们。 /// They were created years ago, but he has continued to experiment, changing them.
Conversation/zBriefing_Hybrid02/Line00008=他在这里犯下的暴行罄竹难书，混合体便是首当其冲。 /// He has committed many atrocities here. First among these is the hybrid.
Conversation/zBriefing_Hybrid02/Line00010=斯托科夫？你会帮我让我很意外。 /// Stukov? I am surprised you would help me.
Conversation/zBriefing_Hybrid02/Line00013=这两个开始融合了！并制造出一团黑暗能量漩涡！要是再融合一个混合体，整个行星都将灰飞烟灭。 /// Those two are combining! Creating a vortex of dark energy! If a third hybrid merges with them, the entire planet will implode.
Conversation/zBriefing_Hybrid02/Line00015=女王，那两个融合的混合体制造出一团灵能漩涡。 /// My queen, the combining of those two hybrid created a psionic vortex.
Conversation/zBriefing_Hybrid02/Line00016=它们开始失控了，我们正好利用这段时间来组织自己的部队。我们需要这支部队来对抗混合体。 /// They are out of control. That should buy us some time to set up a force of our own. We will need it against hybrid.
Conversation/zBriefing_Hybrid02/Line00021=它们在扭曲，准备融合了，并试图制造出一股比它们还要强大的力量出来。 /// They are twisted. Able to merge, and create a force far greater than themselves.
Conversation/zBriefing_Hybrid02/Line00022=如果有第三个混合体参与融合，那么整个行星系都将被拉进无底的黑洞深渊。 /// If a third merges with them, this planetary system could be pulled into its event horizon.
Conversation/zBriefing_Hybrid02/Line00023=杜兰在这里制造了实验型混合体。它们是极度扭曲的生物，不同于你以往所见到的混合体。 /// Duran created experimental hybrids in this lab. Twisted beings, unlike any hybrid you have encountered before.
Conversation/zBriefing_Hybrid02/Line00024=你必须不惜一切代价阻止第三个混合体与其他两个混合体进行融合。 /// You must keep a third hybrid from merging with the other two at any cost.
Conversation/zBriefing_Hybrid02/Line00025=我们进来了。 /// We're inside.
Conversation/zBriefing_Hybrid02/Line00026=我们进来了。 /// We're inside.
Conversation/zBriefing_Hybrid02/Line00027=这所实验室里掩藏着纳鲁德最辉煌的实验成就——混合体。 /// This lab safeguards the culmination of Narud's research. The hybrid.
Conversation/zBriefing_Hybrid02/Line00029=那是用于最终战役的终极武器。绝不能让帝国掌控这些怪物。 /// The ultimate weapon of the final war. The Dominion must not be allowed to wield it.
Conversation/zBriefing_Hybrid02/Line00030=有人在唤醒它们！ /// Someone is waking them up.
Conversation/zBriefing_Hybrid02/Line00031=实验进程中断……它们开始失控了！ /// The indoctrination process is incomplete! It's out of control!
Conversation/zBriefing_Hybrid02/Line00032=我们必须先建造自己的部队，然后肃清这个实验室里的残渣。 /// First we build up our forces, then we destroy every last thing in this lab.
Conversation/zBriefing_Hybrid02/Line00033=这是什么-- <pained exertion> /// What is it-- <pained exertion>
Conversation/zBriefing_Hybrid02/Line00035=居然是灵能攻击！ /// It's attacking psionically!
Conversation/zBriefing_Hybrid02/Line00039=混合体苏醒了！ /// The hybrid are waking up!
Conversation/zBriefing_Hybrid02/Line00043=[Surprise]顶住！[/Surprise][Angry]消灭混合体，否则这就是我们的末日。[/Angry] /// [Surprise]Stay strong! [/Surprise][Angry]You must kill the hybrid or we are all doomed.[/Angry]
Conversation/zBriefing_Hybrid02/Line00044=[Angry 80]它在用灵能攻击我！[/Angry][Angry]吸取我的力量……[/Angry] /// [Angry 80]It's attacking me psionically! [/Angry][Angry]Draining me...[/Angry]
Conversation/zBriefing_Hybrid02/Line00045=凯瑞甘，这所实验室窝藏着纳鲁德最顶级的研究成果：混合体。 /// Kerrigan, this lab houses the culmination of Narud's research: the hybrid.
Conversation/zBriefing_Hybrid02/Line00046=它们是帝国用在最终决战时的终极武器。 /// They are the ultimate weapon of the final war.
Conversation/zBriefing_Hybrid02/Line00047=你怎么了？ /// What's happening to you?
Conversation/zBriefing_Hybrid02/Line00048=<pained exertion> /// <pained exertion>
Conversation/zBriefing_Hybrid03/Comment00001=Kerrigan walks out of the elevator onto the Xel'Naga temple. /// Kerrigan walks out of the elevator onto the Xel'Naga temple.
Conversation/zBriefing_Hybrid03/Comment00002=Narud powers up! /// Narud powers up!
Conversation/zBriefing_Hybrid03/Comment00003=Narud fires a blast that is blocked by Kerrigan. /// Narud fires a blast that is blocked by Kerrigan.
Conversation/zBriefing_Hybrid03/Comment00004=A hybrid activates a temple. /// A hybrid activates a temple.
Conversation/zBriefing_Hybrid03/Comment00005=Back to Narud /// Back to Narud
Conversation/zBriefing_Hybrid03/Comment00006=The null zone moves forwards. /// The null zone moves forwards.
Conversation/zBriefing_Hybrid03/Comment00007=Kerrigan busts into the final bit of the lab, and encounters some tal'darim guards. /// Kerrigan busts into the final bit of the lab, and encounters some tal'darim guards.
Conversation/zBriefing_Hybrid03/Comment00008=The camera shows to Narud. /// The camera shows to Narud.
Conversation/zBriefing_Hybrid03/Comment00009=Focus on Kerrigan blocking the blast. /// Focus on Kerrigan blocking the blast.
Conversation/zBriefing_Hybrid03/Comment00010=Show Null Zone /// Show Null Zone
Conversation/zBriefing_Hybrid03/Comment00011=They encounter a shackled ultralisk. /// They encounter a shackled ultralisk.
Conversation/zBriefing_Hybrid03/Comment00012=The ultralisk explodes. Several unburrow from nearby. /// The ultralisk explodes. Several unburrow from nearby.
Conversation/zBriefing_Hybrid03/Comment00013=Kerrigan moves into the room and spies a protoss base. /// Kerrigan moves into the room and spies a protoss base.
Conversation/zBriefing_Hybrid03/Group00001=Hybrid03 /// Hybrid03
Conversation/zBriefing_Hybrid03/Group00002=Briefing /// Briefing
Conversation/zBriefing_Hybrid03/Group00004=OBSOLETE /// OBSOLETE
Conversation/zBriefing_Hybrid03/Line00001=我知道你想让你死去的主子起死回生，纳鲁德。别白日做梦了。 /// I know you want to resurrect your dead god, Narud. That won't happen.
Conversation/zBriefing_Hybrid03/Line00002=蝼蚁之辈！我不需要主人的帮助就能捏死你！ /// Petulant child! I do not need my master's help to destroy you!
Conversation/zBriefing_Hybrid03/Line00004=这是……一座萨尔纳加神庙！帝国在此基础上建造了实验室？ /// This is... a Xel'Naga temple! They built their lab on top of this?
Conversation/zBriefing_Hybrid03/Line00006=那个混合体正在向纳鲁德传输它的灵能！ /// The hybrid is channelling it's psionic energy to Narud!
Conversation/zBriefing_Hybrid03/Line00008=你最终还是来了。好久不见，凯瑞甘。 /// She finally arrives. It has been a long time Kerrigan.
Conversation/zBriefing_Hybrid03/Line00009=我在专心对付纳鲁德，抽不出手来。你们去干掉那个混合体！ /// I've got my hands full here with Narud. Take care of that hybrid!
Conversation/zBriefing_Hybrid03/Line00011=凯瑞甘，仔细听好。 /// Kerrigan, listen carefully.
Conversation/zBriefing_Hybrid03/Line00012=如果零度空间碰到你，你将不复存在。 /// If the null zone touches you, you will cease to exist.
Conversation/zBriefing_Hybrid03/Line00013=你要使出浑身解数，将它推向纳鲁德！ /// Use all your strength; push it at him!
Conversation/zBriefing_Hybrid03/Line00014=纳鲁德将这些塔达林招至麾下，[Serious]作为他的王牌部队。[/Serious] /// Narud has held these Tal'darim in reserve. [Serious]They are his best troops.[/Serious]
Conversation/zBriefing_Hybrid03/Line00016=可惜了，那头雷兽本来可以为我们所用。 /// A shame. This ultralisk might have been useful.
Conversation/zBriefing_Hybrid03/Line00017=[Angry 70]有机体斯托科夫[/Angry]愚昧无知。死亡无关紧要，只有精华重要。 /// [Angry 70]Organism Stukov[/Angry] misunderstands. Death irrelevant. Only essence important.
Conversation/zBriefing_Hybrid03/Line00018=雷兽重获新生，代表虫群的终极进化。 /// Ultralisk reconstituted. Ultimate expression of Swarm evolution.
Conversation/zBriefing_Hybrid03/Line00019=我们要为建立巢群找到一个安全的位置，[Serious]然后我们就着手对付纳鲁德。[/Serious] /// We need to secure a location for our hive cluster. [Serious]Then we deal with Narud.[/Serious] 
Conversation/zBriefing_Hybrid03/Line00020=异虫已经攻破了星灵圣殿！ /// The zerg have breached the sanctum!
Conversation/zBriefing_Hybrid03/Line00021=最终的战斗即将来临。 /// The final battle is near.
Conversation/zBriefing_Hybrid03/Line00022=纳鲁德召唤出一支塔达林部队来保护他。 /// Narud has summoned a Tal'darim force to defend him.
Conversation/zBriefing_Hybrid03/Line00023=星灵…… /// Protoss...
Conversation/zBriefing_Korhal01/Comment00001=IN MAP CINEMATIC START - Camera begins on a working base in the Korhal wasetlands. /// IN MAP CINEMATIC START - Camera begins on a working base in the Korhal wasetlands.
Conversation/zBriefing_Korhal01/Comment00002=A single drop-pod arrives. The base explodes with extreme prejudice. /// A single drop-pod arrives. The base explodes with extreme prejudice.
Conversation/zBriefing_Korhal01/Comment00003=Kerrigan stands from the wreckage. /// Kerrigan stands from the wreckage.
Conversation/zBriefing_Korhal01/Comment00004=A nearby group of marines are called to move in and investigate. /// A nearby group of marines are called to move in and investigate.
Conversation/zBriefing_Korhal01/Comment00005=A single drop-pod lands near the moving Marines. /// A single drop-pod lands near the moving Marines.
Conversation/zBriefing_Korhal01/Comment00006=STORYMODE BRIEFING START - Kerrigan and Izsha view Korhal in the background of the leviathan. /// STORYMODE BRIEFING START - Kerrigan and Izsha view Korhal in the background of the leviathan.
Conversation/zBriefing_Korhal01/Comment00007=Kerrigan kills a Marine from offscreen taking their attention as the drone escapes. /// Kerrigan kills a Marine from offscreen taking their attention as the drone escapes.
Conversation/zBriefing_Korhal01/Comment00008=Kerrigan kills the Marines. /// Kerrigan kills the Marines.
Conversation/zBriefing_Korhal01/Comment00009=The drone has already begun setting up their base as several more drop-pods begin to land. /// The drone has already begun setting up their base as several more drop-pods begin to land.
Conversation/zBriefing_Korhal01/Comment00010=Kerrigan steps over to edge and watches drop-pods slowly begin to fall in the distance. /// Kerrigan steps over to edge and watches drop-pods slowly begin to fall in the distance.
Conversation/zBriefing_Korhal01/Comment00011=The camera pans to reveal the zerg base. /// The camera pans to reveal the zerg base.
Conversation/zBriefing_Korhal01/Comment00012=Kerrigan stands alone as Arcturus contacts her. /// Kerrigan stands alone as Arcturus contacts her.
Conversation/zBriefing_Korhal01/Comment00013=A drop-pod arrives. The base explodes with extreme prejudice. /// A drop-pod arrives. The base explodes with extreme prejudice.
Conversation/zBriefing_Korhal01/Comment00014=Kerrigan emerges from the wreckage. A drone follows her and sets up a hatchery. /// Kerrigan emerges from the wreckage. A drone follows her and sets up a hatchery.
Conversation/zBriefing_Korhal01/Comment00015=Camera begins on a working base in the Korhal wastelands. /// Camera begins on a working base in the Korhal wastelands.
Conversation/zBriefing_Korhal01/Comment00016=A drop-pod lands near the base and begins setting up. /// A drop-pod lands near the base and begins setting up.
Conversation/zBriefing_Korhal01/Comment00017=The Dominion destroy the bile launcher. /// The Dominion destroy the bile launcher.
Conversation/zBriefing_Korhal01/Group00001=Korhal01 /// Korhal01
Conversation/zBriefing_Korhal01/Group00003=Briefing /// Briefing
Conversation/zBriefing_Korhal01/Group00004=OBSOLETE /// OBSOLETE
Conversation/zBriefing_Korhal01/Line00001=有什么东西突破了防御系统，下士。快去调查，就现在！ /// Something has broken through the defenses, Corporal. Investigate, now!
Conversation/zBriefing_Korhal01/Line00002=遵命，长官。动作快，陆战队员们！ /// Yes, sir. Move your ass marines!
Conversation/zBriefing_Korhal01/Line00003=女王，虫群大军损失惨重，但轨道防御系统依然稳固。 /// My queen, the Swarm is taking heavy losses but the orbital defenses are contained.
Conversation/zBriefing_Korhal01/Line00004=你已经失败了。 /// You've already lost.
Conversation/zBriefing_Korhal01/Line00005=我要建立军队，伊兹莎。给我搞一只工蜂过来，快点！ /// I need my brood, Izsha. Get me a drone, now!
Conversation/zBriefing_Korhal01/Line00006=虫子！轰掉它！ /// Zerg! Blast it!
Conversation/zBriefing_Korhal01/Line00007=你那可笑的入侵行动失败了，小丫头。我的士兵正在屠杀你的异虫，你现在已是孤家寡人了。 /// This pathetic invasion has failed, girl. My men slaughter your zerg in orbit, and you are all alone.
Conversation/zBriefing_Korhal01/Line00008=刀锋女王！ /// The Queen of Blades!
Conversation/zBriefing_Korhal01/Line00009=女王，我们的孢子炮台已被克哈的防御体系摧毁殆尽了。 /// My queen, our spore cannons are being destroyed by Korhal's defense grid.
Conversation/zBriefing_Korhal01/Line00010=这就是我带来茫茫虫海的原因，伊兹莎。 /// That's why we brought so many, Izsha.
Conversation/zBriefing_Korhal01/Line00011=你太低估我了，阿克图尔斯。我原以为你很了解我的。 /// You underestimate me, Arcturus. I would think you knew better.
Conversation/zBriefing_Korhal01/Line00012=我们到时候等着瞧吧。 /// We shall see about that.
Conversation/zBriefing_Korhal01/Line00013=一旦有空投囊突破了防线立刻通知我，我们要努力撕开一个突破口。 /// Alert me the moment one breaks through. We're punching a hole in those defenses.
Conversation/zBriefing_Korhal01/Line00014=是时候了。开始向克哈投放我们的孢子炮台。 /// It's time. Begin dropping our spore cannons onto Korhal.
Conversation/zBriefing_Korhal01/Line00015=我们的孢子炮台将被轨道防御系统所摧毁。 /// Our spore cannons will be destroyed in orbit.
Conversation/zBriefing_Korhal01/Line00016=我们投放了成千上万的孢子炮台，伊兹莎。总有一些能够突破重围的。 /// We're dropping millions on them, Izsha. A handful will get through.
Conversation/zBriefing_Korhal01/Line00017=一旦孢子炮台能够突破重围并扎根地面，我们就可以两面夹击了。 /// Once the spore cannons are implanted on the surface we attack from both fronts.
Conversation/zBriefing_Korhal01/Line00020=我要让胜利的天平向我们倾斜。 /// I'm going to shift the balance in our favor.
Conversation/zBriefing_Korhal01/Line00021=女王，您的利维坦已准备就绪。 /// My queen, your Leviathans are in position.
Conversation/zBriefing_Korhal01/Line00022=[Serious]派出所有的空投囊。[/Serious]它们应该会集中在这片区域周围。 /// [Serious]Send in all the drop-pods. [/Serious]They should be centered around this region.
Conversation/zBriefing_Korhal01/Line00023=有胆汁喷射体穿过轨道就通知我，[Serious]我要确保[/Serious]它们存活。 /// Alert me the moment one breaks through. [Serious]I'll make sure[/Serious] the launcher survives.
Conversation/zBriefing_Korhal01/Line00024=我回来了。 /// I'm back.
Conversation/zBriefing_Korhal01/Line00025=胆汁喷射体突破了轨道防御网络。 /// A bile launcher has broken through the orbital defense network.
Conversation/zBriefing_Korhal01/Line00026=我会[Serious]亲自[/Serious]处理的。 /// I'm going to handle this [Serious]personally[/Serious].
Conversation/zBriefing_Korhal01/Line00027=帝国的地面部队守住了这块区域。如果没有支援，胆汁喷射体无法存活。 /// Dominion ground forces have secured this area. Our bile launchers cannot survive without support.
Conversation/zBriefing_Korhal02/Comment00001=Show the psi-disintegrator. /// Show the psi-disintegrator.
Conversation/zBriefing_Korhal02/Comment00002=Move to the power link and ping it. /// Move to the power link and ping it.
Conversation/zBriefing_Korhal02/Comment00003=Kerrigan floats down to the landing zone. /// Kerrigan floats down to the landing zone.
Conversation/zBriefing_Korhal02/Comment00004=Drop-pods bring primals to the starting location. /// Drop-pods bring primals to the starting location.
Conversation/zBriefing_Korhal02/Comment00005=Fade to black. /// Fade to black.
Conversation/zBriefing_Korhal02/Comment00006=The zerglings run into the field and and killed. /// The zerglings run into the field and and killed.
Conversation/zBriefing_Korhal02/Comment00007=Move to the power link and ping it. /// Move to the power link and ping it.
Conversation/zBriefing_Korhal02/Comment00008=Open on Mutalisks trying to escape the field and dying. /// Open on the destroyer. A drop sac lands on the platform and zerglings spill out.
Conversation/zBriefing_Korhal02/Comment00010=Move to the power link and ping it. /// Move to the power link and ping it.
Conversation/zBriefing_Korhal02/Comment00012=Drop-pods bring primals to the starting location. /// Drop-pods bring primals to the starting location.
Conversation/zBriefing_Korhal02/Group00001=Korhal02 /// Korhal02
Conversation/zBriefing_Korhal02/Group00002=Dehaka Main variant. /// Dehaka Main variant.
Conversation/zBriefing_Korhal02/Group00003=Briefing /// Briefing
Conversation/zBriefing_Korhal02/Group00004=OBSOLETE /// OBSOLETE
Conversation/zBriefing_Korhal02/Line00001=这就是那个我们必须摧毁的东西。 /// This is what we must destroy.
Conversation/zBriefing_Korhal02/Line00002=[Surprise 60]德哈卡，[/Surprise]这就是那台灵能粉碎器的集线装置。 /// [Surprise 60]Dehaka,[/Surprise] this is the central hub of the Psi Destroyer.
Conversation/zBriefing_Korhal02/Line00003=让我们[Serious]彻底[/Serious]关了它。 /// We're going to bring it offline, [Serious]permanently[/Serious].
Conversation/zBriefing_Korhal02/Line00004=灵能粉碎器用能量传输装置来扩大影响范围。[Serious]摧毁它们[/Serious]，力场将暂时失效。 /// The Psi Destroyer uses power links to extend its range. [Serious]Disable them[/Serious] and the field will shut down temporarily.
Conversation/zBriefing_Korhal02/Line00005=这个力场对我毫无威胁，我会亲手粉碎这个能量传输装置。 /// This field poses no threat to me. I will rip apart this power link, myself.
Conversation/zBriefing_Korhal02/Line00006=一旦力场失效，我就会指挥虫群[Serious]冲破他们的防线。[/Serious] /// Once the field is down, I'll command the Swarm and [Serious]destroy their defenses.[/Serious]
Conversation/zBriefing_Korhal02/Line00007=这就是那台灵能粉碎器的集线装置。它威力强大，但范围很小。 /// That is the central hub of the psi-disintegrator. It's powerful, but short range.
Conversation/zBriefing_Korhal02/Line00009=这些能量传输装置扩大了粉碎器的范围。 /// These power links extend the disintegrator's range.
Conversation/zBriefing_Korhal02/Line00010=我会带领小股原始兽去摧毁那些能量传输装置。 /// I'll take a small force of primals and destroy this power link.
Conversation/zBriefing_Korhal02/Line00011=真正的异虫是不会受灵能粉碎器影响的！我们将摧毁它！ /// The true zerg are immune to this psi-disintegrator! We will destroy!
Conversation/zBriefing_Korhal02/Line00012=你的原始兽对我们至关重要，德哈卡。我会派遣它们去摧毁那些能量传输装置。 /// Your primals will be vital to me, Dehaka. I will use them to destroy the power links.
Conversation/zBriefing_Korhal02/Line00013=一旦粉碎力场的范围缩小，我会派出虫群部队来支援你。 /// Once the disintegration field is smaller, I can reinforce you with the Swarm.
Conversation/zBriefing_Korhal02/Line00014=我进去了。 /// I'm going in.
Conversation/zBriefing_Korhal02/Line00015=德哈卡，你抵达灵能粉碎器那了吗？ /// Dehaka, have you reached the psi-destroyer?
Conversation/zBriefing_Korhal02/Line00016=是的。我已经等不及摧毁人类那些机械了。 /// Yes. I am eager to destroy this terran machinery.
Conversation/zBriefing_Korhal02/Line00017=这些能量传输装置扩大了粉碎器的范围。 /// These power links extend the destroyer's range.
Conversation/zBriefing_Korhal02/Line00018=看我亲自把这些链接撕成碎片。 /// I will tear these links apart myself.
Conversation/zBriefing_Korhal02/Line00019=一旦粉碎器的力场范围缩小，我会派出虫群部队来支援你的原始兽。 /// Once the destroyer field is smaller, I can reinforce you with the Swarm.
Conversation/zBriefing_Korhal02/Line00020=这就是那台灵能粉碎器的集线装置。它威力强大，但范围很小。 /// This is the central hub of the psi destroyer. It's powerful, but short range.
Conversation/zBriefing_Korhal02/Line00021=那么开始行动吧，我闻到了人类精华的味道。 /// Then it is time to act. I smell terran essence.
Conversation/zBriefing_Korhal02/Line00022=[Surprise 65]虫群快招架不住了……[/Surprise][Serious]我们必须马上把这个力场关掉。[/Serious] /// [Surprise 65]The Swarm is going to be torn apart...[/Surprise] [Serious]We have to shut down this field now.[/Serious]
Conversation/zBriefing_Korhal02/Line00023=那么开始行动吧。 /// Then it is time to act.
Conversation/zBriefing_Korhal02/Line00024=我[Serious]倒要[/Serious]看看你的灵能粉碎器还有什么用，[Angry 80]蒙斯克[/Angry]。 /// [Serious]Let's see[/Serious] what your Psi Destroyer can do, [Angry 80]Mengsk.[/Angry]
Conversation/zBriefing_Korhal03/Comment00001=The camera pans over a base mid field also bustling with activity. /// The camera pans over a base mid field also bustling with activity.
Conversation/zBriefing_Korhal03/Comment00002=Pans to another base. /// Pans to another base.
Conversation/zBriefing_Korhal03/Comment00003=Return to Kerrigan standing with an army of Zerg. /// Return to Kerrigan standing with an army of Zerg.
Conversation/zBriefing_Korhal03/Comment00004=Return to Kerrigan standing with an army of zerg. /// Return to Kerrigan standing with an army of zerg.
Conversation/zBriefing_Korhal03/Comment00005=Mengsk's base bustling with activity. It's clear just by sight this is the hardest battle Kerrigan will face. /// Mengsk's base bustling with activity. It's clear just by sight this is the hardest battle Kerrigan will face.
Conversation/zBriefing_Korhal03/Comment00006=Kerrigan lands at her hatchery and steps forward. /// Kerrigan lands at her hatchery and steps forward.
Conversation/zBriefing_Korhal03/Comment00007=She gains an aura implying her psychic connection to Arcturus. /// She gains an aura implying her psychic connection to Arcturus.
Conversation/zBriefing_Korhal03/Comment00008=Mengsk's base is bustling with activity. It's clear by sight htis will be the hardest battle Kerrigan will face. /// Mengsk's base is bustling with activity. It's clear by sight htis will be the hardest battle Kerrigan will face.
Conversation/zBriefing_Korhal03/Group00001=OBSOLETE /// OBSOLETE
Conversation/zBriefing_Korhal03/Group00002=OLD /// OLD
Conversation/zBriefing_Korhal03/Group00004=Korhal03 /// Korhal03
Conversation/zBriefing_Korhal03/Line00001=你看到了吗阿克图尔斯？虫群大军正淹没你那可怜的世界。 /// Do you feel it Arcturus? The Swarm floods your precious world.
Conversation/zBriefing_Korhal03/Line00002=这感觉怎么样啊，阿克图尔斯？你如瓮中之鳖，被饥饿的异虫所包围…… /// How does it feel, Arcturus? You're caged in, surrounded by ravenous zerg...
Conversation/zBriefing_Korhal03/Line00003=你太高估自己了，凯瑞甘。 /// You overestimate your chances, Kerrigan.
Conversation/zBriefing_Korhal03/Line00004=快投降吧，很快就会结束了。 /// Just give in. It'll be over soon.
Conversation/zBriefing_Korhal03/Line00005=你还真是健忘啊，元首。 /// How quickly you seem to forget, Emperor.
Conversation/zBriefing_Korhal03/Line00006=克哈在核战争中都幸存下来了，在你这也一样。 /// Korhal has survived nuclear warfare and it has survived you.
Conversation/zBriefing_Korhal03/Line00007=就算你占领了这个星球，之后我也能重新夺回来。 /// I let you have this planet. And I can take it away.
Conversation/zBriefing_Korhal03/Line00008=凯瑞甘，[Serious]大局已定。[/Serious]虫群[Angry 90]称霸星际、只手遮天[/Angry]的日子到[Serious]今天[/Serious]为止了。 /// Kerrigan, [Serious]the die is cast.[/Serious] This is the [Serious]last day[/Serious] your Swarm [Angry 90]darkens the sky of any planet.[/Angry]
Conversation/zBriefing_Korhal03/Line00009=此后我会在联邦的废墟上重新建立新世界。 /// I have rebuilt this world from the ashes of the Confederacy.
Conversation/zBriefing_Korhal03/Line00010=这里将成为你的葬身之地，凯瑞甘。我向你保证。 /// You will die here, Kerrigan. I promise you that.
Conversation/zBriefing_Korhal03/Line00011=多动听的演讲啊。我一定会将这些话刻在你墓碑上的。 /// Nice speech. I'll make sure it's engraved on your tombstone.
Conversation/zBriefing_Korhal03/Line00012=如地狱烈焰般的核战争我们都挺过来了，你和你的虫群又算的了什么。 /// We endured the firey hell of nuclear warfare, and we even perservered against your Swarm.
Conversation/zBriefing_Korhal03/Line00013=我们一定会活下来的。记住我的话，这里将是你的葬身之地。 /// We will survive your onslaught. Mark my words, you will die here.
Conversation/zBriefing_Korhal03/Line00014=克哈解放了。我们终于摆脱联邦的压迫了。 /// Korhal survives. We outlasted the oppression of the Confederacy.
Conversation/zBriefing_Korhal03/Line00015=[Happy 70]说的好。[/Happy][Serious]我会将这些话刻在你墓碑上的。[/Serious] /// [Happy 70]Nice quote.[/Happy][Serious] I'll engrave it on your tombstone.[/Serious]
Conversation/zBriefing_Korhal03/Line00016=[Surprise 60]伊兹莎、扎加拉、斯托科夫、德哈卡。我所有的虫母、虫后们，[/Surprise][Serious]听我号令。[/Serious] /// [Surprise 60]Izsha, Zagara, Stukov, Dehaka. All my broodmothers, all my queens, [/Surprise][Serious]hear me.[/Serious]
Conversation/zBriefing_Korhal03/Line00017=策划战术的阶段[Serious]已经过去。[/Serious] /// The time for planning and deliberation is [Serious]past[/Serious].
Conversation/zBriefing_Korhal03/Line00018=[Surprise 60]现在[/Surprise][Serious]我们要做的就是撕碎他们。进攻，没杀光敌人之前[/Serious][Angry 90]不要停止。[/Angry] /// [Surprise 60]Now [/Surprise][Serious]we tear them down. Attack, and do not stop until they are [/Serious][Angry 90]all dead.[/Angry]
Conversation/zBriefing_Korhal03/Line00019=克哈不会沦陷，我也不会失败。 /// Korhal will endure, as will I.
Conversation/zBriefing_Lab01/Group00001=Lab01 /// Lab01
Conversation/zBriefing_Lab01/Group00004=Briefing /// Briefing
Conversation/zBriefing_Lab01/Line00012=[Surprise]工蜂？[/Surprise]你真要我去控制一个异虫单位吗？[Serious]你知道会发生什么吗？[/Serious] /// [Surprise]A drone?[/Surprise] Are you really asking me to take control of a zerg mind? [Serious]Do you know what could happen?[/Serious]
Conversation/zBriefing_Lab01/Line00013=我们[Serious]必须找出[/Serious]你体内还有多少异虫诱变基因。[Surprise 60]非常感谢[/Surprise]你的配合，凯瑞甘。 /// We [Serious]have to find out[/Serious] how much of the zerg mutagen is left in your system. I [Surprise 60]appreciate[/Surprise] your cooperation, Kerrigan.
